,total_vacc
0,43.55619075834253
1,43.72179996923281
2,43.89844155338076
3,44.08108862175767
4,44.2665221112048
5,44.45275907881635
6,44.63860975884885
7,44.823322178148416
8,45.00644309262229
9,45.18769952571462
10,45.36690605938746
11,45.54394423211657
12,45.718747087388245
13,45.891278571695096
14,46.061512932531876
15,46.2294347183954
16,46.39505423028779
17,46.558356016705886
18,46.71936067965389
19,46.87807336963287
20,47.0344734846386
21,47.18900911826279
22,47.34130943442953
23,47.49140018564412
24,47.639286522407595
25,47.784994197225224
26,47.928528360598065
27,48.069904464029285
28,48.20913795902204
29,48.346239146578434
30,48.48122347820164
31,48.614106405394814
32,48.744898229160064
33,48.87361440100055
34,49.0002755229205
35,49.124891895922
36,49.24748412200928
37,49.36806765268551
38,49.486657939453835
39,49.60327558431848
40,49.717936038782604
41,49.83065990485043
42,49.941472935027214
43,50.05038027981402
44,50.15741284221718
45,50.262591224240886
46,50.36593087738832
47,50.46745240366369
48,50.56717640507122
49,50.66512863411618
50,50.76132969280277
51,50.85579503263416
52,50.948545255614576
53,51.03961641525139
54,51.12901366204565
55,51.21677304950474
56,51.30289972812971
57,51.38742975142794
58,51.47037857090259
59,51.55177708955999
60,51.63163560840224
61,51.70997472943357
62,51.7868356566624
63,51.86221323958767
64,51.93615383271888
65,52.00866258655708
66,52.07977040410859
67,52.14949788737763
68,52.217860487867355
69,52.28488395808304
70,52.35059405052996
71,52.41499591570916
72,52.47813075762908
73,52.540008877291825
74,52.60065087670161
75,52.66008765886476
76,52.71831407328022
77,52.77538162495853
78,52.83129546440074
79,52.88606589260896
80,52.93973411359163
81,52.99230012734875
82,53.04378968638557
83,53.094228543207386
84,53.14363214931734
85,53.19201595621861
86,53.23939026491329
87,53.28579112890877
88,53.33122884920715
89,53.37571372681054
