index,date,iso_code,total_vacc
0,2021-10-27,AFG,5968797.725070596
1,2021-10-28,AFG,5974184.413843274
2,2021-10-29,AFG,5987453.892400622
3,2021-10-30,AFG,6004657.126142144
4,2021-10-31,AFG,6024010.590471625
5,2021-11-01,AFG,6044465.561814189
6,2021-11-02,AFG,6065410.168998003
7,2021-11-03,AFG,6086488.123815179
8,2021-11-04,AFG,6107497.321258903
9,2021-11-05,AFG,6128321.776668906
10,2021-11-06,AFG,6148896.89978528
11,2021-11-07,AFG,6169186.575623989
12,2021-11-08,AFG,6189170.663136244
13,2021-11-09,AFG,6208839.439057112
14,2021-11-10,AFG,6228186.652716279
15,2021-11-11,AFG,6247209.526038051
16,2021-11-12,AFG,6265909.448060274
17,2021-11-13,AFG,6284285.029745102
18,2021-11-14,AFG,6302339.743687153
19,2021-11-15,AFG,6320075.673443198
20,2021-11-16,AFG,6337496.9861267805
21,2021-11-17,AFG,6354748.8361929655
22,2021-11-18,AFG,6371709.682830095
23,2021-11-19,AFG,6388385.08218956
24,2021-11-20,AFG,6404777.117828131
25,2021-11-21,AFG,6420891.345897198
26,2021-11-22,AFG,6436731.23899138
27,2021-11-23,AFG,6452299.575186372
28,2021-11-24,AFG,6467599.827076793
29,2021-11-25,AFG,6482634.7727383375
30,2021-11-26,AFG,6497406.4957277775
31,2021-11-27,AFG,6511919.163158655
32,2021-11-28,AFG,6526174.164068818
33,2021-11-29,AFG,6540176.360090733
34,2021-11-30,AFG,6553927.140262246
35,2021-12-01,AFG,6567429.282659054
36,2021-12-02,AFG,6580686.259875774
37,2021-12-03,AFG,6593701.544507027
38,2021-12-04,AFG,6606475.831071734
39,2021-12-05,AFG,6619015.3702402115
40,2021-12-06,AFG,6631320.162012458
41,2021-12-07,AFG,6643395.762539864
42,2021-12-08,AFG,6655242.866341352
43,2021-12-09,AFG,6666866.335049391
44,2021-12-10,AFG,6678268.25222075
45,2021-12-11,AFG,6689452.090450048
46,2021-12-12,AFG,6700421.322331905
47,2021-12-13,AFG,6711178.725942016
48,2021-12-14,AFG,6721727.079356074
49,2021-12-15,AFG,6732069.8551687
50,2021-12-16,AFG,6742209.831455588
51,2021-12-17,AFG,6752150.4808113575
52,2021-12-18,AFG,6761893.886792779
53,2021-12-19,AFG,6771444.911032319
54,2021-12-20,AFG,6780804.248048902
55,2021-12-21,AFG,6789977.4539939165
56,2021-12-22,AFG,6798965.917905211
57,2021-12-23,AFG,6807772.417858481
58,2021-12-24,AFG,6816401.815486193
59,2021-12-25,AFG,6824854.805307269
60,2021-12-26,AFG,6833135.554435253
61,2021-12-27,AFG,6841246.84094584
62,2021-12-28,AFG,6849191.442914724
63,2021-12-29,AFG,6856972.138417602
64,2021-12-30,AFG,6864592.40004909
65,2021-12-31,AFG,6872054.311365962
66,2022-01-01,AFG,6879360.650443912
67,2022-01-02,AFG,6886514.195358634
68,2022-01-03,AFG,6893518.418704748
69,2022-01-04,AFG,6900374.709520102
70,2022-01-05,AFG,6907087.234918237
71,2022-01-06,AFG,6913657.383937001
72,2022-01-07,AFG,6920089.323689938
73,2022-01-08,AFG,6926383.74869597
74,2022-01-09,AFG,6932544.82606864
75,2022-01-10,AFG,6938573.944845796
76,2022-01-11,AFG,6944474.577622056
77,2022-01-12,AFG,6950248.113435268
78,2022-01-13,AFG,6955898.024880052
79,2022-01-14,AFG,6961425.006475329
80,2022-01-15,AFG,6966833.225334644
81,2022-01-16,AFG,6972124.070495844
82,2022-01-17,AFG,6977299.625515699
83,2022-01-18,AFG,6982363.36298883
84,2022-01-19,AFG,6987316.671953082
85,2022-01-20,AFG,6992162.330484152
86,2022-01-21,AFG,6996901.033100963
87,2022-01-22,AFG,7001536.252398133
88,2022-01-23,AFG,7006069.377413511
89,2022-01-24,AFG,7010503.186222792
90,2021-10-27,ALB,5919381.314607263
91,2021-10-28,ALB,5934598.224226832
92,2021-10-29,ALB,5953377.321406364
93,2021-10-30,ALB,5973813.540737987
94,2021-10-31,ALB,5995083.18277812
95,2021-11-01,ALB,6016703.556874752
96,2021-11-02,ALB,6038389.215750217
97,2021-11-03,ALB,6059976.252938509
98,2021-11-04,ALB,6081370.908384919
99,2021-11-05,ALB,6102519.009613395
100,2021-11-06,ALB,6123390.692310214
101,2021-11-07,ALB,6143969.982540131
102,2021-11-08,ALB,6164249.240594983
103,2021-11-09,ALB,6184224.299361229
104,2021-11-10,ALB,6203893.769801021
105,2021-11-11,ALB,6223256.957395434
106,2021-11-12,ALB,6242314.556663394
107,2021-11-13,ALB,6261068.651161671
108,2021-11-14,ALB,6279518.546371341
109,2021-11-15,ALB,6297651.7409517765
110,2021-11-16,ALB,6315468.234902978
111,2021-11-17,ALB,6333063.871836424
112,2021-11-18,ALB,6350370.588897586
113,2021-11-19,ALB,6367392.5532000065
114,2021-11-20,ALB,6384131.153781533
115,2021-11-21,ALB,6400590.557755709
116,2021-11-22,ALB,6416772.848679304
117,2021-11-23,ALB,6432681.499146938
118,2021-11-24,ALB,6448318.592715383
119,2021-11-25,ALB,6463687.601979256
120,2021-11-26,ALB,6478790.610495329
121,2021-11-27,ALB,6493630.396339297
122,2021-11-28,ALB,6508209.737586856
123,2021-11-29,ALB,6522531.4123137
124,2021-11-30,ALB,6536598.893114448
