date,country,total_vaccinations,iso_code
2020-12-01,Afghanistan,0.0,AFG
2020-12-02,Afghanistan,0.0,AFG
2020-12-03,Afghanistan,0.0,AFG
2020-12-04,Afghanistan,0.0,AFG
2020-12-05,Afghanistan,0.0,AFG
2020-12-06,Afghanistan,0.0,AFG
2020-12-07,Afghanistan,0.0,AFG
2020-12-08,Afghanistan,0.0,AFG
2020-12-09,Afghanistan,0.0,AFG
2020-12-10,Afghanistan,0.0,AFG
2020-12-11,Afghanistan,0.0,AFG
2020-12-12,Afghanistan,0.0,AFG
2020-12-13,Afghanistan,0.0,AFG
2020-12-14,Afghanistan,0.0,AFG
2020-12-15,Afghanistan,0.0,AFG
2020-12-16,Afghanistan,0.0,AFG
2020-12-17,Afghanistan,0.0,AFG
2020-12-18,Afghanistan,0.0,AFG
2020-12-19,Afghanistan,0.0,AFG
2020-12-20,Afghanistan,0.0,AFG
2020-12-21,Afghanistan,0.0,AFG
2020-12-22,Afghanistan,0.0,AFG
2020-12-23,Afghanistan,0.0,AFG
2020-12-24,Afghanistan,0.0,AFG
2020-12-25,Afghanistan,0.0,AFG
2020-12-26,Afghanistan,0.0,AFG
2020-12-27,Afghanistan,0.0,AFG
2020-12-28,Afghanistan,0.0,AFG
2020-12-29,Afghanistan,0.0,AFG
2020-12-30,Afghanistan,0.0,AFG
2020-12-31,Afghanistan,0.0,AFG
2021-01-01,Afghanistan,0.0,AFG
2021-01-02,Afghanistan,0.0,AFG
2021-01-03,Afghanistan,0.0,AFG
2021-01-04,Afghanistan,0.0,AFG
2021-01-05,Afghanistan,0.0,AFG
2021-01-06,Afghanistan,0.0,AFG
2021-01-07,Afghanistan,0.0,AFG
2021-01-08,Afghanistan,0.0,AFG
2021-01-09,Afghanistan,0.0,AFG
2021-01-10,Afghanistan,0.0,AFG
2021-01-11,Afghanistan,0.0,AFG
2021-01-12,Afghanistan,0.0,AFG
2021-01-13,Afghanistan,0.0,AFG
2021-01-14,Afghanistan,0.0,AFG
2021-01-15,Afghanistan,0.0,AFG
2021-01-16,Afghanistan,0.0,AFG
2021-01-17,Afghanistan,0.0,AFG
2021-01-18,Afghanistan,0.0,AFG
2021-01-19,Afghanistan,0.0,AFG
2021-01-20,Afghanistan,0.0,AFG
2021-01-21,Afghanistan,0.0,AFG
2021-01-22,Afghanistan,0.0,AFG
2021-01-23,Afghanistan,0.0,AFG
2021-01-24,Afghanistan,0.0,AFG
2021-01-25,Afghanistan,0.0,AFG
2021-01-26,Afghanistan,0.0,AFG
2021-01-27,Afghanistan,0.0,AFG
2021-01-28,Afghanistan,0.0,AFG
2021-01-29,Afghanistan,0.0,AFG
2021-01-30,Afghanistan,0.0,AFG
2021-01-31,Afghanistan,0.0,AFG
2021-02-01,Afghanistan,0.0,AFG
2021-02-02,Afghanistan,0.0,AFG
2021-02-03,Afghanistan,0.0,AFG
2021-02-04,Afghanistan,0.0,AFG
2021-02-05,Afghanistan,0.0,AFG
2021-02-06,Afghanistan,0.0,AFG
2021-02-07,Afghanistan,0.0,AFG
2021-02-08,Afghanistan,0.0,AFG
2021-02-09,Afghanistan,0.0,AFG
2021-02-10,Afghanistan,0.0,AFG
2021-02-11,Afghanistan,0.0,AFG
2021-02-12,Afghanistan,0.0,AFG
2021-02-13,Afghanistan,0.0,AFG
2021-02-14,Afghanistan,0.0,AFG
2021-02-15,Afghanistan,0.0,AFG
2021-02-16,Afghanistan,0.0,AFG
2021-02-17,Afghanistan,0.0,AFG
2021-02-18,Afghanistan,0.0,AFG
2021-02-19,Afghanistan,0.0,AFG
2021-02-20,Afghanistan,0.0,AFG
2021-02-21,Afghanistan,0.0,AFG
2021-02-22,Afghanistan,0.0,AFG
2021-02-23,Afghanistan,1367.0,AFG
2021-02-24,Afghanistan,2734.0,AFG
2021-02-25,Afghanistan,4101.0,AFG
2021-02-26,Afghanistan,5468.0,AFG
2021-02-27,Afghanistan,6835.0,AFG
2021-02-28,Afghanistan,8202.0,AFG
2021-03-01,Afghanistan,9782.0,AFG
2021-03-02,Afghanistan,11576.0,AFG
2021-03-03,Afghanistan,13584.0,AFG
2021-03-04,Afghanistan,15805.0,AFG
2021-03-05,Afghanistan,18240.0,AFG
2021-03-06,Afghanistan,20889.0,AFG
2021-03-07,Afghanistan,23751.0,AFG
2021-03-08,Afghanistan,26613.0,AFG
2021-03-09,Afghanistan,29475.0,AFG
2021-03-10,Afghanistan,32337.0,AFG
2021-03-11,Afghanistan,35199.0,AFG
2021-03-12,Afghanistan,38061.0,AFG
2021-03-13,Afghanistan,40923.0,AFG
2021-03-14,Afghanistan,43785.0,AFG
2021-03-15,Afghanistan,46647.0,AFG
2021-03-16,Afghanistan,49509.0,AFG
2021-03-17,Afghanistan,52391.0,AFG
2021-03-18,Afghanistan,55293.0,AFG
2021-03-19,Afghanistan,58214.0,AFG
2021-03-20,Afghanistan,61155.0,AFG
2021-03-21,Afghanistan,64116.0,AFG
2021-03-22,Afghanistan,67096.0,AFG
2021-03-23,Afghanistan,70096.0,AFG
2021-03-24,Afghanistan,73096.0,AFG
2021-03-25,Afghanistan,76096.0,AFG
2021-03-26,Afghanistan,79096.0,AFG
2021-03-27,Afghanistan,82096.0,AFG
2021-03-28,Afghanistan,85096.0,AFG
2021-03-29,Afghanistan,88096.0,AFG
2021-03-30,Afghanistan,91096.0,AFG
2021-03-31,Afghanistan,94096.0,AFG
2021-04-01,Afghanistan,97096.0,AFG
2021-04-02,Afghanistan,100096.0,AFG
2021-04-03,Afghanistan,103096.0,AFG
2021-04-04,Afghanistan,106096.0,AFG
2021-04-05,Afghanistan,109096.0,AFG
2021-04-06,Afghanistan,112096.0,AFG
2021-04-07,Afghanistan,115096.0,AFG
2021-04-08,Afghanistan,118810.0,AFG
2021-04-09,Afghanistan,123239.0,AFG
2021-04-10,Afghanistan,128382.0,AFG
2021-04-11,Afghanistan,134239.0,AFG
2021-04-12,Afghanistan,140810.0,AFG
2021-04-13,Afghanistan,148096.0,AFG
2021-04-14,Afghanistan,156096.0,AFG
2021-04-15,Afghanistan,164096.0,AFG
2021-04-16,Afghanistan,172096.0,AFG
2021-04-17,Afghanistan,180096.0,AFG
2021-04-18,Afghanistan,188096.0,AFG
2021-04-19,Afghanistan,196096.0,AFG
2021-04-20,Afghanistan,204096.0,AFG
2021-04-21,Afghanistan,212096.0,AFG
2021-04-22,Afghanistan,220096.0,AFG
2021-04-23,Afghanistan,228942.0,AFG
2021-04-24,Afghanistan,238634.0,AFG
2021-04-25,Afghanistan,249172.0,AFG
2021-04-26,Afghanistan,260556.0,AFG
2021-04-27,Afghanistan,272785.0,AFG
2021-04-28,Afghanistan,285860.0,AFG
2021-04-29,Afghanistan,299781.0,AFG
2021-04-30,Afghanistan,313702.0,AFG
2021-05-01,Afghanistan,327623.0,AFG
2021-05-02,Afghanistan,341544.0,AFG
2021-05-03,Afghanistan,355465.0,AFG
2021-05-04,Afghanistan,369386.0,AFG
2021-05-05,Afghanistan,383307.0,AFG
2021-05-06,Afghanistan,397228.0,AFG
2021-05-07,Afghanistan,411149.0,AFG
2021-05-08,Afghanistan,425070.0,AFG
2021-05-09,Afghanistan,438991.0,AFG
2021-05-10,Afghanistan,452912.0,AFG
2021-05-11,Afghanistan,466833.0,AFG
2021-05-12,Afghanistan,479454.0,AFG
2021-05-13,Afghanistan,490775.0,AFG
2021-05-14,Afghanistan,500797.0,AFG
2021-05-15,Afghanistan,509519.0,AFG
2021-05-16,Afghanistan,516941.0,AFG
2021-05-17,Afghanistan,523063.0,AFG
2021-05-18,Afghanistan,527885.0,AFG
2021-05-19,Afghanistan,532707.0,AFG
2021-05-20,Afghanistan,537529.0,AFG
2021-05-21,Afghanistan,542569.0,AFG
2021-05-22,Afghanistan,547826.0,AFG
2021-05-23,Afghanistan,553300.0,AFG
2021-05-24,Afghanistan,558992.0,AFG
2021-05-25,Afghanistan,565222.0,AFG
2021-05-26,Afghanistan,571990.0,AFG
2021-05-27,Afghanistan,578477.0,AFG
2021-05-28,Afghanistan,584384.0,AFG
2021-05-29,Afghanistan,589710.0,AFG
2021-05-30,Afghanistan,594456.0,AFG
2021-05-31,Afghanistan,599540.0,AFG
2021-06-01,Afghanistan,604642.0,AFG
2021-06-02,Afghanistan,609761.0,AFG
2021-06-03,Afghanistan,615046.0,AFG
2021-06-04,Afghanistan,620319.0,AFG
2021-06-05,Afghanistan,625580.0,AFG
2021-06-06,Afghanistan,630830.0,AFG
2021-06-07,Afghanistan,635149.0,AFG
2021-06-08,Afghanistan,638537.0,AFG
2021-06-09,Afghanistan,641174.0,AFG
2021-06-10,Afghanistan,643730.0,AFG
2021-06-11,Afghanistan,646465.0,AFG
2021-06-12,Afghanistan,649379.0,AFG
2021-06-13,Afghanistan,652472.0,AFG
2021-06-14,Afghanistan,655744.0,AFG
2021-06-15,Afghanistan,660557.0,AFG
2021-06-16,Afghanistan,666732.0,AFG
2021-06-17,Afghanistan,674270.0,AFG
2021-06-18,Afghanistan,683170.0,AFG
2021-06-19,Afghanistan,693432.0,AFG
2021-06-20,Afghanistan,705056.0,AFG
2021-06-21,Afghanistan,718042.0,AFG
2021-06-22,Afghanistan,731028.0,AFG
2021-06-23,Afghanistan,744153.0,AFG
2021-06-24,Afghanistan,757417.0,AFG
2021-06-25,Afghanistan,770821.0,AFG
2021-06-26,Afghanistan,784364.0,AFG
2021-06-27,Afghanistan,798046.0,AFG
2021-06-28,Afghanistan,812309.0,AFG
2021-06-29,Afghanistan,827153.0,AFG
2021-06-30,Afghanistan,842439.0,AFG
2021-07-01,Afghanistan,856554.0,AFG
2021-07-02,Afghanistan,869498.0,AFG
2021-07-03,Afghanistan,881271.0,AFG
2021-07-04,Afghanistan,891873.0,AFG
