date,daily_vaccinations,total_vaccinations,percentage_people_vaccinated
2020-12-01,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0
2020-12-05,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0
2020-12-12,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0
2020-12-15,722.0,722.0,4.494147486414242e-06
2020-12-16,192362.0,193084.0,0.0012018669989844978
2020-12-17,193278.0,386362.0,0.0024049415666841816
2020-12-18,193678.0,580040.0,0.003610505966786311
2020-12-19,193268.0,773308.0,0.004813518288675934
2020-12-20,200393.0,973701.0,0.006060880750234118
2020-12-21,267922.0,1241623.0,0.00772858294255417
2020-12-22,347667.0,1589290.0,0.009892664347206773
2020-12-23,392077.0,1981367.0,0.012333179394340896
2020-12-24,461267.0,2442634.0,0.015204373201288039
2020-12-25,494797.0,2937431.0,0.018284277209370182
2020-12-26,516388.0,3453819.0,0.021498576145955333
2020-12-27,519194.0,3973013.0,0.02473034125684364
2020-12-28,582961.0,4555974.0,0.028359029224748804
2020-12-29,667194.0,5223168.0,0.032512032324541966
2020-12-30,746559.0,5969727.0,0.037159049295885364
2020-12-31,784931.0,6754658.0,0.04204491588959536
2021-01-01,843367.0,7598025.0,0.04729452209897863
2021-01-02,918375.0,8516400.0,0.053011021680468486
2021-01-03,969367.0,9485767.0,0.059044925096622104
2021-01-04,1043405.0,10529172.0,0.06553968404130639
2021-01-05,1152322.0,11681494.0,0.07271240567543358
2021-01-06,1214694.0,12896188.0,0.0802733668760741
2021-01-07,1349642.0,14245830.0,0.08867432283432769
2021-01-08,1448351.0,15694181.0,0.09768970095911378
2021-01-09,1510560.0,17204741.0,0.10709230404370922
2021-01-10,1563002.0,18767743.0,0.11682133660542726
2021-01-11,1959045.0,20726788.0,0.12901557090254967
2021-01-12,2017292.0,22744080.0,0.1415723683695352
2021-01-13,2202679.0,24946759.0,0.1552831222355012
2021-01-14,2669599.0,27616358.0,0.1719002574648419
2021-01-15,2879328.0,30495686.0,0.1898228678440138
2021-01-16,3071408.0,33567094.0,0.20894109574284012
2021-01-17,3028625.0,36595719.0,0.22779301739248187
